nombre,central,tecnologia_etiqueta,nombre_agente,tecnologia,tecnologia_maquinas,potencia_instalada_mw,provincia,departamento,aglomeracion,sistema,pah,id_renovar,resolucion_renovables,fuente,geojson
EL TUNAL,TUNAHI,Hidroeléctrica (Menor a 50 Mw),AES JURAMENTO,HI<50,HIDRAULICA <=50,10.52,SALTA,Anta,,Interconectado MEM,Si,SPT-PAH-17,,cammesa,"{""type"":""Point"",""coordinates"":[-64.4764305162525,-25.2270322367122]}"
CABRA CORRAL,CCORHI,Hidroeléctrica,AES JURAMENTO,HI>50,TURB HIDRAULICA,100.5,SALTA,La Viña,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.3299990930871,-25.2719800355696]}"
CORRALITO,,Hidroeléctrica (Menor a 50 Mw),,HI,,,SALTA,Rosario de Lerma,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.6865271439023,-24.9830340962408]}"
LOS MADERAS,LMADHI,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA LAS MADERAS,HI<50,HIDRAULICA <=50,30.6,JUJUY,El Carmen,,Interconectado MEM,Si,SPT-PAH-08,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2197364983929,-24.4441987192434]}"
RIO REYES,RREYHI,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA REYES EJSEDSA,HI<50,HIDRAULICA <=50,7,JUJUY,Dr. Manuel Belgrano,,Interconectado MEM,Si,SPT-PAH-09,,cammesa,"{""type"":""Point"",""coordinates"":[-65.4916348832363,-24.1694839121159]}"
TERMOANDES,TAND,Térmica,C.T. SALTA (TERMOANDES),CC,TURBO GAS - TURBO VAPOR,642.7,SALTA,General Güemes,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.0519013958739,-24.7437960153283]}"
GUEMES,GUEM,Térmica,C.TERMICA GUEMES S.A. - PAMPA ENERGIA SA,"TG,TV",TURBO GAS - TURBO VAPOR,361,SALTA,General Güemes,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.0417211063505,-24.6892695418247]}"
SMARTIN TABACAL,TABA,Biomasa,Ingenio y Ref.S.Martin Tabacal,BIOM,BIOMASA,,SALTA,Orán,,Interconectado MEM,,GEN-BM-01,,cammesa,"{""type"":""Point"",""coordinates"":[-64.2410968154746,-23.2537605221984]}"
LEDESMA,LEDE,Térmica,LEDESMA SAAI,TV,TURBO VAPOR,,JUJUY,Ledesma,CIUDAD DEL LIB. GRAL SAN MARTIN,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-64.7933588752294,-23.8271582492634]}"
ORAN ENARSA,ORAD,Térmica,CT ORAN - SECCO,DI,MOTOR DIESEL,15,SALTA,Orán,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-64.2992618436917,-23.1351672737403]}"
PIQUIRENDA,PIQI,Térmica,CENTRAL TERMICA PIQUIRENDA,DI,MOTOR DIESEL,30.4,SALTA,General José de San Martín,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-63.7666549019036,-22.349970943658]}"
CADILLAL,CADIHI,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA TUCUMAN SA,HI<50,HIDRAULICA <=50,12.6,TUCUMAN,Tafí Viejo,,Interconectado MEM,Si,SPT-PAH-24,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1868321876443,-26.6200499831072]}"
INDEPENDENCIA,INDE,Térmica,GENERACION INDEPENDENCIA S.A.,TG,TURBO GAS,120,TUCUMAN,Capital,GRAN SAN MIGUEL DE TUCUMÁN,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.223019394741,-26.8667943339862]}"
PUEBLO VIEJO,PVIEHI,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA TUCUMAN SA,HI<50,HIDRAULICA <=50,15,TUCUMAN,Monteros,,Interconectado MEM,Si,SPT-PAH-26,,cammesa,"{""type"":""Point"",""coordinates"":[-65.752010409261,-27.1448816637494]}"
TINOGASTA ENARS,TINO,Térmica,CT TINOGASTA - SULLAIR,DI,MOTOR DIESEL,15,CATAMARCA,Tinogasta,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-67.5663147800987,-28.0484120314732]}"
ING.STA.BARBARA,ISBA,Biomasa,AZUCARERA JUAN M.TERAN SA,BIOM,BIOMASA,,TUCUMAN,Río Chico,VILLA CLODOMIRO HILERET,Interconectado MEM,,GEN-BM-02,,cammesa,"{""type"":""Point"",""coordinates"":[-65.6537413049569,-27.464838858915]}"
PLUSPETROL NORT,PPNO,Térmica,GENERADORA ELEC.TUCUMAN SA,TG,TURBO GAS,232,TUCUMAN,Cruz Alta,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1614225417492,-26.995485328767]}"
LA PROVIDENCIA,PROV,Biomasa,ARCOR ING.LA PROVIDENCIA,BIOM,BIOMASA,,TUCUMAN,Monteros,,Interconectado MEM,,SPT-BM-02,,cammesa,"{""type"":""Point"",""coordinates"":[-65.5678321992731,-27.2645320110401]}"
C.T. TUCUMAN,TUCU,Térmica,CT TUCUMAN,CC,TURBO GAS - TURBO VAPOR,447,TUCUMAN,Cruz Alta,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.168080226001,-26.9973386893061]}"
S.M. DE TUCUMAN,SMTU,Térmica,CT SAN MIGUEL DE TUCUMAN,CC,TURBO GAS - TURBO VAPOR,382,TUCUMAN,Cruz Alta,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1684229506897,-26.9934191039549]}"
ESCABA,ESCAHI,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA TUCUMAN SA,HI<50,HIDRAULICA <=50,24,TUCUMAN,Juan Bautista Alberdi,,Interconectado MEM,Si,SPT-PAH-25,,cammesa,"{""type"":""Point"",""coordinates"":[-65.7476240307624,-27.6371807728526]}"
ARAUCO EOLICO,ARAUEO,Eólica,PARQUE EOLICO ARAUCO SAPEM,EOL,EOLICA,25.2,LA RIOJA,Arauco,,Interconectado MEM,,108-EOL-04,,cammesa,"{""type"":""Point"",""coordinates"":[-66.7520404729973,-28.7019386324684]}"
TEREVINTOS ENAR,TERV,Térmica,CT TEREVINTOS - SECCO,DI,MOTOR DIESEL,8,CATAMARCA,Capital,GRAN SAN FERNANDO DEL VALLE DE CATAMARCA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.7875500263406,-28.4286585836683]}"
P.IND.CAT ENARS,PICA,Térmica,CT PARQUE INDUSTR.CATAM-SECCO,DI,MOTOR DIESEL,15,CATAMARCA,Capital,GRAN SAN FERNANDO DEL VALLE DE CATAMARCA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.8001164819123,-28.5337823338873]}"
INTA CATAM ENAR,INTA,Térmica,CT INTA CATAMARCA - SECCO,DI,MOTOR DIESEL,7,CATAMARCA,Valle Viejo,GRAN SAN FERNANDO DEL VALLE DE CATAMARCA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.7276223809196,-28.4735996503173]}"
FRIAS,FRIA,Térmica,GENERACION FRIAS S.A.,TG,TURBO GAS,60,SANTIAGO DEL ESTERO,Choya,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1226269171479,-28.6071696566615]}"
RIO HONDO,RHONHI,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA RIO HONDO SA,HI<50,HIDRAULICA <=50,17.5,SANTIAGO DEL ESTERO,Río Hondo,,Interconectado MEM,Si,SPT-PAH-23,,cammesa,"{""type"":""Point"",""coordinates"":[-64.8858384223996,-27.5233347231574]}"
CHILECITO ENARS,CHLE,Térmica,CT CHILECITO - SECCO,DI,MOTOR DIESEL,10,LA RIOJA,Chilecito,CHILECITO,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-67.5074087926456,-29.1572516726037]}"
LA RIOJA DELIV,LRID,Térmica,CT LA RIOJA - SECCO,DI,MOTOR DIESEL,19.2,LA RIOJA,Capital,LA RIOJA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-66.8327760492731,-29.3813665161374]}"
L.RIOJA SUR ENA,LRIS,Térmica,CT LA RIOJA SUR- SECCO,DI,MOTOR DIESEL,10,LA RIOJA,Capital,LA RIOJA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-66.8335365898047,-29.4388323691241]}"
LOS QUIROGA,LQUIHI,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA RIO HONDO SA,HI<50,HIDRAULICA <=50,2,SANTIAGO DEL ESTERO,Banda,,Interconectado MEM,Si,SPT-PAH-22,,cammesa,"{""type"":""Point"",""coordinates"":[-64.3618123286165,-27.6509626836279]}"
AÑATUYA,ANAT,Térmica,CT AÑATUYA II - SULLAIR - CT AÑATUYA - SULLAIR,DI,MOTOR DIESEL,30.7,SANTIAGO DEL ESTERO,General Taboada,AÑATUYA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.8553327591813,-28.4456196884124]}"
BANDERA DISTRIB,BAND,Térmica,CT BANDERA SgoEstero - ENARSA,DI,MOTOR DIESEL,32.5,SANTIAGO DEL ESTERO,Belgrano,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.2801321227062,-28.8749679218226]}"
LA RIOJA,LRIO,Térmica,GENERACION RIOJANA SA,TG,TURBO GAS,88,LA RIOJA,Capital,LA RIOJA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-66.8339708758593,-29.3826955443433]}"
LIB. SAN MARTIN,LIBE,Térmica,CT LIBERTADOR GSM - SULLAIR,DI,MOTOR DIESEL,15.26,JUJUY,Ledesma,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-64.7842728205002,-23.8224617302045]}"
L N ALEM ENARSA,ALEM,Térmica,CT ALEM - AGGREKO,DI,MOTOR DIESEL,15,MISIONES,Leandro N. Alem,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-55.2866667069673,-27.6090467539788]}"
A.D.VALL.ENARSA,ARIS,Térmica,CT ARISTOBU.DEL VALLE-SOENERGY,DI,MOTOR DIESEL,15,MISIONES,Cainguás,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-54.8625900150621,-27.0922812972986]}"
BARRANQ. DISTRI,BARD,Térmica,CT BARRANQUERAS Chaco,DI,MOTOR DIESEL,21.7,CHACO,San Fernando,GRAN RESISTENCIA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.9290956049045,-27.4910044952613]}"
CASTELLI,CAST,Térmica,CT CASTELLI - MIRAMAR POWER,DI,MOTOR DIESEL,15,CHACO,General Güemes,JUAN JOSE CASTELLI,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.6203107937942,-25.9564032397642]}"
CORRIENTES,CORR,Térmica,CT CORRIENTES - AGGREKO,DI,MOTOR DIESEL,20,CORRIENTES,Capital,CORRIENTES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.8038820634838,-27.4713001317354]}"
CHARATA ENARSA,CHAR,Térmica,CT CHARATA - SULLAIR,DI,MOTOR DIESEL,19.8,CHACO,Chacabuco,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-61.1943982714975,-27.2372619580196]}"
FORMOSA DELIVER,FORD,Térmica,CT FORMOSA - APR ENERGY,DI,MOTOR DIESEL,30,FORMOSA,Formosa,FORMOSA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.2099107453431,-26.1756593440015]}"
CT GOYA ENARSA,GOYD,Térmica,CT GOYA - SECCO,DI,MOTOR DIESEL,13,CORRIENTES,Goya,GOYA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.2733093628777,-29.1584813288758]}"
JUAREZ,JUAR,Térmica,CT ING JUAREZ - SECCO,DI,MOTOR DIESEL,4,FORMOSA,Bermejo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-61.8315639965146,-23.9089227053256]}"
CT ITATI,ITAT,Térmica,CT ITATI - TURBODISEL,DI,MOTOR DIESEL,7.2,CORRIENTES,Itatí,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.238676053807,-27.3190661401993]}"
PTA CELULOSA,,Térmica,,TV,,,MISIONES,Iguazú,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-54.635397391218,-25.9884369692721]}"
LAG. BLANCA,LBLA,Térmica,CT LAGUNA BLANCA - SECCO,DI,MOTOR DIESEL,7,FORMOSA,Pilcomayo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.2596545638245,-25.1289542667997]}"
L.PALMAS ENARSA,LPAL,Térmica,CT LAS PALMAS -TURBODISEL,DI,MOTOR DIESEL,7.2,CHACO,Bermejo,LA LEONESA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.6995454553439,-27.0286943911229]}"
PPEL MISIONERO,,Térmica,,TG,,,MISIONES,Libertador General San Martín,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-55.1224032464816,-26.9360958801401]}"
PASO DE LA PATR,PPAT,Térmica,CT PASO LA PATRIA-TURBODISEL,DI,MOTOR DIESEL,7.2,CORRIENTES,San Cosme,PASO DE PATRIA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.5663029300779,-27.3234729204348]}"
PIRANE,PIRA,Térmica,CT PIRANE - SULLAIR,DI,MOTOR DIESEL,16.25,FORMOSA,Pirané,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.075506916154,-25.6787307206911]}"
A.P. PTO PIRAY,PUPI,Biomasa,ALTO PARANA-PTO.PIRAY,BIOM,BIOMASA,,MISIONES,Montecarlo,,Interconectado MEM,,SPT-BM-01,,cammesa,"{""type"":""Point"",""coordinates"":[-54.7204032818055,-26.4755262273684]}"
SAENZ PEÑA,SPEN,Térmica,CT SAENZ PEÑA - APR ENERGY,DI,MOTOR DIESEL,20,CHACO,Comandante Fernández,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.4117283487329,-26.8156650598248]}"
SAENZ PEÑA II,SPE2,Térmica,CT SAENZ PEÑA II- APR ENERGY,DI,MOTOR DIESEL,15,CHACO,Comandante Fernández,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.4125458785529,-26.8150747390515]}"
S.MART. CHACO,SCHA,Térmica,CT SAN MARTIN Chaco,DI,MOTOR DIESEL,15,CHACO,Libertador General San Martín,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.3200683118524,-26.5583660715767]}"
STA ROSA CORR,SROS,Térmica,CT SANTA ROSA -TURBODISEL,DI,MOTOR DIESEL,7.2,CORRIENTES,Concepción,SANTA ROSA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.1227875030454,-28.2626293767159]}"
URUGUA-Ã,,Hidroeléctrica (Menor a 50 Mw),,HI,,,MISIONES,Iguazú,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-54.5686426055334,-25.8766199163741]}"
V.ANGELA ENARSA,VANG,Térmica,CT VILLA ANGELA - MIRAMAR POWE,DI,MOTOR DIESEL,15,CHACO,Mayor Luis J. Fontana,VILLA ANGELA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.7098754608175,-27.580512225107]}"
YACYRETA,YACYHI,Hidroeléctrica,E.B. YACYRETA,HI>50,TURB HIDRAULICA,2745,,,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-56.7392780146516,-27.4827573401025]}"
CH LS CORONELES,COROHI,Hidroeléctrica (Menor a 50 Mw),GENERADORA ELECTRICA MENDOZ.SA,HI<50,HIDRAULICA <=50,6.64,MENDOZA,San Rafael,,Interconectado MEM,Si,SPT-PAH-11,,cammesa,"{""type"":""Point"",""coordinates"":[-68.560342413796,-34.5919905427933]}"
AGUA DEL TORO,ADTOHI,Hidroeléctrica,H. DIAMANTE SA,HI>50,TURB HIDRAULICA,150,MENDOZA,San Rafael,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.9894656132823,-34.5793889212683]}"
C.H.CACHEUTA,CACHHI,Hidroeléctrica,CONSORCIO POTRERILLOS,HI>50,TURB HIDRAULICA,120,MENDOZA,Las Heras,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.1123640805996,-33.027421753035]}"
CARACOLES,CCOLHI,Hidroeléctrica,C.H.LOS CARACOLES - EPSE,HI>50,TURB HIDRAULICA,121.4,SAN JUAN,Zonda,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.968049961021,-31.5171227451936]}"
CH CARRIZAL,CARRHI,Hidroeléctrica (Menor a 50 Mw),CONSORCIO POTRERILLOS,HI<50,HIDRAULICA <=50,17,MENDOZA,Rivadavia,,Interconectado MEM,Si,SPT-PAH-10,,cammesa,"{""type"":""Point"",""coordinates"":[-68.7199436163259,-33.2992822610691]}"
C.HOND 1 FOTOVO,HON1FV,Fotovoltaica,C.FOTOV. CAÑADA HONDA I-ENARSA,SOL,FOTOVOLTAICA,2,SAN JUAN,Sarmiento,,Interconectado MEM,,GEN-SFV-02,,cammesa,"{""type"":""Point"",""coordinates"":[-68.5398231422267,-31.9863643522805]}"
C.H. A.CONDARCO,CONDHI,Hidroeléctrica,CONSORCIO POTRERILLOS,HI>50,TURB HIDRAULICA,54.4,MENDOZA,Las Heras,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.0509354230872,-33.0444306973273]}"
CRUZ DE PIEDRA,CDPI,Térmica,C. TERMICAS MENDOZA SA,TG,TURBO GAS,14,MENDOZA,Maipú,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.795761530881,-33.0345755345373]}"
CTA. DEL VIENTO,CVIEHI,Hidroeléctrica (Menor a 50 Mw),HIDR.CUESTA DEL VIENTO - EPSE,HI<50,HIDRAULICA <=50,10.55,SAN JUAN,Iglesia,,Interconectado MEM,Si,SPT-PAH-18,,cammesa,"{""type"":""Point"",""coordinates"":[-69.062586516008,-30.1959433401456]}"
EL TIGRE,ETIGHI,Hidroeléctrica (Menor a 50 Mw),H. DIAMANTE SA,HI<50,HIDRAULICA <=50,14,MENDOZA,San Rafael,,Interconectado MEM,Si,SPT-PAH-12,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6129298246166,-34.6079441332114]}"
LOS REYUNOS,LREYHB,Hidroeléctrica,H. DIAMANTE SA,HI>50,TURB + BOMBA HI,224,MENDOZA,San Rafael,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6384001292792,-34.602963582231]}"
LUJAN DE CUYO,LDCU,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,"CC,TG,TV",TURBO GAS - TURBO VAPOR,573.556,MENDOZA,Luján de Cuyo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.9808278777804,-33.0556831430012]}"
NIHUIL 1,NIH1HI,Hidroeléctrica,HIDROELECTRICA LOS NIHUILES SA,HI>50,TURB HIDRAULICA,72,MENDOZA,San Rafael,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6308328986911,-34.995113985933]}"
NIHUIL 2,NIH2HI,Hidroeléctrica,HIDROELECTRICA LOS NIHUILES SA,HI>50,TURB HIDRAULICA,110,MENDOZA,San Rafael,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6234147224122,-34.9122912797947]}"
NIHUIL 3,NIH3HI,Hidroeléctrica,HIDROELECTRICA LOS NIHUILES SA,HI>50,TURB HIDRAULICA,42,MENDOZA,San Rafael,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.5753196996058,-34.8823799536892]}"
NIHUIL 4,NIH4HI,Hidroeléctrica (Menor a 50 Mw),HIDR NIHUIL IV (EMSE SE),HI<50,HIDRAULICA <=50,18,MENDOZA,San Rafael,,Interconectado MEM,Si,137-PAH-01,,cammesa,"{""type"":""Point"",""coordinates"":[-68.5144036656597,-34.8332879230443]}"
PUNTA NEGRA,PNEGHI,Hidroeléctrica,C.H.PUNTA NEGRA - EPSE,HI>50,TURB HIDRAULICA,63.28,SAN JUAN,Ullum,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.814939615402,-31.5166071318568]}"
QUEBRADA ULLUM,QULLHI,Hidroeléctrica (Menor a 50 Mw),QUEBRADA ULLUM - EPSE,HI<50,HIDRAULICA <=50,45,SAN JUAN,Ullum,,Interconectado MEM,Si,SPT-PAH-29,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6475159174745,-31.4761715668351]}"
CH SAN MARTIN,SMARHI,Hidroeléctrica (Menor a 50 Mw),GENERADORA ELECTRICA MENDOZ.SA,HI<50,HIDRAULICA <=50,6.48,MENDOZA,Luján de Cuyo,GRAN MENDOZA,Interconectado MEM,Si,SPT-PAH-13,,cammesa,"{""type"":""Point"",""coordinates"":[-68.9218160120265,-33.0450137852746]}"
SARMIENTO SJ,SARC,Térmica,HIDROTERMICA SAN JUAN,TG,TURBO GAS,30,SAN JUAN,Capital,GRAN SAN JUAN,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.5399248457632,-31.512829159704]}"
ULLUM,ULLUHI,Hidroeléctrica (Menor a 50 Mw),HIDROTERMICA SAN JUAN,HI<50,HIDRAULICA <=50,42,SAN JUAN,Ullum,,Interconectado MEM,Si,SPT-PAH-30,,cammesa,"{""type"":""Point"",""coordinates"":[-68.7560938242533,-31.455675704811]}"
ARAUCO EOLICO 2,ARA2EO,Eólica,PARQUE EOLICO ARAUCO II SAPEM,EOL,EOLICA,25.2,LA RIOJA,Arauco,,Interconectado MEM,,108-EOL-05,,cammesa,"{""type"":""Point"",""coordinates"":[-66.7544246630076,-28.6929796580617]}"
S.JUAN I FOTOVO,SJUAFV,Fotovoltaica,PTA FOTOVOLTAICA S.JUAN I-EPSE,SOL,FOTOVOLTAICA,1.2,SAN JUAN,Ullum,,Interconectado MEM,,108-SFV-01,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6751573268069,-31.3888039108097]}"
C.HOND 2 FOTOVO,HON2FV,Fotovoltaica,360 ENERGY FV,SOL,FOTOVOLTAICA,3,SAN JUAN,Sarmiento,,Interconectado MEM,,GEN-SFV-03,,cammesa,"{""type"":""Point"",""coordinates"":[-68.5399812499934,-31.9874963940866]}"
CHIMBE 1 FOTOVO,CHI1FV,Fotovoltaica,C.FOTOV. CHIMBERAS 1,SOL,FOTOVOLTAICA,2,SAN JUAN,Sarmiento,,Interconectado MEM,,GEN-SFV-01,,cammesa,"{""type"":""Point"",""coordinates"":[-68.5398727329395,-31.989245141752]}"
ALICURA,ALICHI,Hidroeléctrica,AES ALICURA.,HI>50,TURB HIDRAULICA,1050,NEUQUEN,Lácar,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-70.7474263062353,-40.5841964926609]}"
BARILOCHE ENARS,BARI,Térmica,CT BARILOCHE,DI,MOTOR DIESEL,20,RIO NEGRO,Bariloche,GRAN SAN CARLOS DE BARILOCHE,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-71.2525288540627,-41.1583351986071]}"
FILO MORADO,FILO,Térmica,C.T. FILO MORADO,TG,TURBO GAS,62.9,NEUQUEN,Pehuenches,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.6525010991813,-37.2747144249373]}"
AG. LOMITAS,ALOM,Térmica,CENTRAL TÉRMICA LOMITA AUTOG.,DI,MOTOR DIESEL,,NEUQUEN,Pehuenches,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.2286956892783,-37.333312550528]}"
EL TRAPIAL,TRAP,Térmica,CHEVRON ARGENTINA - HUANTRAICO,TG,TURBO GAS,,NEUQUEN,Pehuenches,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.2805233432634,-37.3678488216065]}"
USINA CAMPAMENTO,,Térmica,,TG,,,NEUQUEN,Pehuenches,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.2817501309613,-37.3687648371747]}"
ENTRE LOMAS,ELOM,Térmica,PETR.ACONCAGUA.YAC.ENTRE LOMAS,DI,MOTOR DIESEL,,RIO NEGRO,General Roca,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.1195935379891,-38.1843474640514]}"
TERMOROCA,ROCA,Térmica,CT ROCA SA,CC,TURBO GAS - TURBO VAPOR,193.13,RIO NEGRO,General Roca,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-67.6008598810522,-38.9459352080157]}"
CIPOLLETTI,CIPOHI,Hidroeléctrica (Menor a 50 Mw),CENTRAL HIDRAULICA CIPOLLETTI,HI<50,HIDRAULICA <=50,5.4,RIO NEGRO,General Roca,,Interconectado MEM,Si,SPT-PAH-15,,cammesa,"{""type"":""Point"",""coordinates"":[-67.9419236685025,-38.9131497255408]}"
JULIAN ROMERO,ROMEHI,Hidroeléctrica (Menor a 50 Mw),CENTRAL JULIAN ROMERO 5 SALTOS,HI<50,HIDRAULICA <=50,6.2,RIO NEGRO,General Roca,BARRIO PRESIDENTE PERON-CINCO SALTOS,Interconectado MEM,Si,SPT-PAH-16,,cammesa,"{""type"":""Point"",""coordinates"":[-68.0374881938993,-38.8366302268835]}"
IMEXTRADE,,Térmica,,TG,,,RIO NEGRO,General Roca,BARRIO PRESIDENTE PERON-CINCO SALTOS,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.0389089267738,-38.8367764652441]}"
CAPEX AUTOPROD.,CAPE,Térmica,CAPEX S.A. AUTOGENERADOR,CC,TURBO GAS - TURBO VAPOR,477.1,NEUQUEN,Confluencia,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.3554550506912,-38.9364799413244]}"
ALTO VALLE,AVAL,Térmica,C.TERMICA ALTO VALLE,"CC,TG",TURBO GAS - TURBO VAPOR,96,NEUQUEN,Confluencia,GRAN NEUQUÉN - CIPOLLETTI,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.0218158056774,-38.9521598854001]}"
ARROYITO,ARROHI,Hidroeléctrica,HIDROELECTRICA EL CHOCON SA,HI>50,TURB HIDRAULICA,127.8,NEUQUEN,Confluencia,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.5854509082377,-39.1071215428176]}"
PLAZA HUINCUL,PHUI,Térmica,YPF Autogenerador Pza. Huincul,TG,TURBO GAS,,NEUQUEN,Confluencia,PLAZA HUINCUL,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.1685341863137,-38.9303417908007]}"
REALICO,REAL,Térmica,CT REALICO - SECCO,DI,MOTOR DIESEL,24,LA PAMPA,Realicó,REALICO,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-64.2523947818108,-35.0551395123669]}"
